r,multiset_lower,multiset_upper,distinct_lower,distinct_upper
1,0.672500703679411645734379790803,0.672500703679411645734379790804,0.804185854391506379331140956107,0.804185854391506379331140956108
2,0.836250351839705822867189895401,0.836250351839705822867189895402,0.938727930759812705750751832257,0.938727930759812705750751832258
3,0.887620008173354339866075859447,0.887620008173354339866075859448,0.969319059130202340109663306458,0.969319059130202340109663306459
4,0.906350006811128616555063216206,0.906350006811128616555063216207,0.979753104026191349247535260861,0.979753104026191349247535260862
5,0.915715006130015754899556894585,0.915715006130015754899556894586,0.984891304068350515209448254691,0.984891304068350515209448254692
6,0.921334005721348037906253101613,0.921334005721348037906253101614,0.987949456853123886909499269318,0.987949456853123886909499269319
8,0.927755719540013504199620195359,0.927755719540013504199620195360,0.991422003329087516518373481164,0.991422003329087516518373481165
10,0.931323338328160985473713025218,0.931323338328160985473713025219,0.993340918495729172858262800708,0.993340918495729172858262800709
20,0.937895267674748450978620869694,0.937895267674748450978620869695,0.996856714757252045218533458417,0.996856714757252045218533458418
